"rental_id","customer_first_name","customer_last_name","region","country","film_title","film_rating","genre","paid_amount","rental_duration"
15662,"Melinda","Fernandez","Asia","Pakistan","Patton Interview","PG","Horror","2.99","0"
4389,"Lynn","Payne","Africa","Malawi","Gold River","R","Comedy","6.99","5"
14098,"Dwayne","Olvera","Asia","India","Academy Dinosaur","PG","Documentary","3.99",NULL
11445,"Tracy","Cole","America","Mexico","Road Roxanne","R","Documentary","6.99","5"
4488,"Julia","Flores","America","Argentina","Independence Hotel","NC-17","Documentary","0.99","5"
7017,"June","Carroll","Africa","Algeria","Coldblooded Darling","G","Sci-Fi","4.99","4"
14903,"Alice","Stewart","America","United States","Guys Falcon","R","Sci-Fi","4.99","3"
3784,"Lorraine","Stephens","Asia","China","Kick Savannah","PG-13","Travel","5.99","8"
3253,"Leonard","Schofield","America","Argentina","High Encino","R","Horror","5.99","5"
3433,"Allison","Stanley","Asia","Cambodia","Dolls Rage","PG-13","Sci-Fi","3.99","7"
15301,"Alex","Gresham","America","Mexico","Chance Resurrection","R","Sports","3.99","4"
14623,"Anna","Hill","Europe","Italy","Curtain Videotape","PG-13","Games","0.99","5"
12551,"Helen","Harris","Asia","India","Jade Bunch","NC-17","Sports","2.99","1"
4639,"Tammy","Sanders","Asia","Taiwan","Lover Truman","G","Classics","5.99","6"
14040,"Donna","Thompson","Asia","Russian Federation","Cyclone Family","PG","Foreign","2.99","4"
15601,"Daryl","Larue","Asia","Iraq","Siege Madre","R","Family","0.99","0"
4312,"Annie","Russell","Africa","Mozambique","Sting Personal","NC-17","New","4.99","2"
4920,"Minnie","Romero","Asia","Indonesia","Vampire Whale","NC-17","New","7.99","6"
8832,"Ethel","Webb","Africa","South Africa","Boiled Dares","PG","Travel","4.99","6"
2418,"Bobby","Boudreau","America","Anguilla","Mulan Moon","G","Comedy","4.99","7"
4310,"Shawn","Heaton","Asia","Thailand","Star Operation","PG","Sports","2.99","4"
13879,"Rosa","Reynolds","America","United States","Tarzan Videotape","PG-13","Horror","2.99","2"
9492,"Ellen","Simpson","America","Brazil","Chasing Fight","PG","Family","6.99","8"
9803,"Mitchell","Westmoreland","Asia","Vietnam","Spiking Element","G","Classics","2.99","0"
8595,"Alfred","Casillas","Africa","Egypt","Quills Bull","R","Documentary","9.99","9"
13694,"Alex","Gresham","America","Mexico","Silverado Goldfinger","PG","Sci-Fi","8.99","7"
5903,"Byron","Box","Asia","Kazakstan","Fargo Gandhi","G","Children","2.99","0"
10933,"Donald","Mahon","Asia","China","Sunrise League","PG-13","Animation","7.99","6"
15702,"Gloria","Cook","Oceania","French Polynesia","Garden Island","G","Sci-Fi","7.99","6"
11043,"Byron","Box","Asia","Kazakstan","Alaska Phantom","PG","Music","0.99","4"
2550,"Martha","Gonzalez","Europe","Moldova","Family Sweet","R","Horror","1.99","4"
2085,"Kristin","Johnston","America","United States","Jumping Wrath","NC-17","Children","2.99","5"
10114,"Vera","Mccoy","Asia","Afghanistan","Storm Happiness","NC-17","Animation","0.99","1"
6311,"Louis","Leone","Asia","Philippines","Gunfight Moon","NC-17","Comedy","0.99","4"
3004,"Cindy","Fisher","America","Venezuela","Newsies Story","G","Documentary","0.99","2"
12469,"Tanya","Gilbert","Asia","South Korea","Lights Deer","R","Classics","0.99","6"
9994,"Vanessa","Sims","Europe","Germany","Interview Liaisons","R","New","4.99","0"
7341,"Gene","Sanborn","Asia","Oman","Sensibility Rear","PG","Family","4.99","0"
9531,"Nina","Soto","Asia","India","Wrong Behavior","PG-13","Children","3.99","7"
14514,"Daisy","Bates","Asia","Russian Federation","Elizabeth Shane","NC-17","Sports","6.99","8"
3550,"Helen","Harris","Asia","India","Lola Agent","PG","Horror","7.99","7"
